Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2206884624,2221673110,2236819053,2252046977,2267482299,2282855831,2298514046,2314202003,2328220870,..
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,888627318,890862941,894486795,898766094,903129978,907498192,911812364,915420161,918793590,..
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,590303295,596966199,603586217,610151927,616619613,622986033,629240066,635372515,641357515,..
Middle East & North Africa,MEA,"Population, total",SP.POP.TOTL,385917886,393944527,401974219,409977874,417932242,425821770,433597626,441255234,448912859,..
North America,NAC,"Population, total",SP.POP.TOTL,343396098,345983901,348653238,351205682,353888995,356510820,359245384,361751263,364290258,..
South Asia,SAS,"Population, total",SP.POP.TOTL,1638792934,1661534412,1683747130,1705772050,1727640967,1749417068,1771167194,1792835608,1814388744,..
Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,869025106,893046172,917726973,943041070,968959787,995458478,1022526541,1050153672,1078306520,..
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,
Last Updated: 03/18/2020,,,,,,,,,,,,,
